Model,MAE,MSE,R2,Error
model_Number of Policies_Monthly Premium Auto_Income,1529.1128737349813,18496839.943308968,0.6410899617394941,
model_Number of Policies_Monthly Premium Auto_Total Claim Amount,1636.9940692407918,19012343.22582439,0.6310872097333086,
model_Number of Policies_Monthly Premium Auto_Months Since Policy Inception,1639.7422927434397,19337933.11273269,0.624769510108635,
model_Number of Policies_Monthly Premium Auto_Months Since Last Claim,1684.1310258543024,19737331.046887398,0.6170196496855582,
model_Number of Policies_Monthly Premium Auto_Customer Lifetime Value,1759.5691744783355,18717780.684046622,0.6368028591882207,
model_Number of Policies_Monthly Premium Auto,1759.6136254357975,18717808.106178634,0.6368023270930909,
model_Number of Policies_Total Claim Amount_Income,2216.3553884044118,23510148.2224169,0.5438124445105457,
model_Number of Policies_Total Claim Amount_Months Since Policy Inception,2318.382428644355,25355159.363159984,0.5080121120675598,
model_Number of Policies_Months Since Last Claim_Total Claim Amount,2321.3359917287567,26945442.599045195,0.4771544834787873,
model_Number of Policies_Total Claim Amount_Customer Lifetime Value,2538.4993782262345,30207983.984301947,0.41384859679771846,
model_Number of Policies_Total Claim Amount,2538.7031336483105,30212267.389986034,0.41376548220610865,
model_Number of Policies_Months Since Last Claim_Income,2660.8542751196055,27708944.98093834,0.46233959239808775,
model_Number of Policies_Months Since Policy Inception_Income,2682.440312561639,27409068.875331163,0.4681583454860073,
model_Number of Policies_Income,2773.3734690313154,31634375.547126517,0.3861710988057969,
model_Number of Policies_Income_Customer Lifetime Value,2773.6938028241552,31635000.948423497,0.38615896360842716,
model_Number of Policies_Customer Lifetime Value,2839.832256156098,27562218.18950533,0.465186658085441,
model_Number of Policies,2839.8322561561,27562218.18950531,0.4651866580854416,
model_Number of Policies_Months Since Last Claim_Customer Lifetime Value,2845.7265329358056,27169229.561647274,0.4728121532453049,
model_Number of Policies_Months Since Last Claim,2845.7265329358106,27169229.561647277,0.4728121532453049,
model_Number of Policies_Months Since Last Claim_Months Since Policy Inception,2875.689698861764,31938122.13569227,0.38027724341980873,
model_Number of Policies_Months Since Policy Inception_Customer Lifetime Value,2880.8490843637705,28323777.503720146,0.4504094700122233,
model_Number of Policies_Months Since Policy Inception,2880.87397663403,28323858.988488805,0.45040788889341987,
model_Monthly Premium Auto_Months Since Last Claim_Income,3825.229205772853,43244536.915306605,0.16088918721248546,
model_Monthly Premium Auto_Months Since Last Claim_Months Since Policy Inception,3853.159123371067,43280050.877977476,0.16020007935730307,
model_Monthly Premium Auto_Total Claim Amount_Months Since Policy Inception,3861.548621604163,44486085.08771684,0.13679836394603817,
model_Monthly Premium Auto_Total Claim Amount_Income,3876.41834949837,44506708.93543873,0.13639818175288365,
model_Monthly Premium Auto_Months Since Policy Inception_Income,3899.176870072019,45263433.72350536,0.121714802133982,
model_Monthly Premium Auto_Months Since Last Claim_Total Claim Amount,3950.404617383385,44666491.11010974,0.1332977912753598,
model_Monthly Premium Auto_Income_Customer Lifetime Value,3986.7505625322165,47393213.56601262,0.08038885850774402,
model_Monthly Premium Auto_Income,3987.2052592790274,47369147.895273566,0.08085582534273794,
model_Monthly Premium Auto,4032.8233507086115,45939966.6129356,0.10858745465332587,
model_Monthly Premium Auto_Customer Lifetime Value,4032.8233507086184,45939966.61293562,0.10858745465332553,
model_Monthly Premium Auto_Total Claim Amount,4062.76128070734,47480465.33971969,0.07869583756278897,
model_Monthly Premium Auto_Total Claim Amount_Customer Lifetime Value,4065.736921427278,47548053.552779526,0.07738436553785866,
model_Monthly Premium Auto_Months Since Last Claim,4127.214150012472,46864411.44699776,0.0906496592363849,
model_Monthly Premium Auto_Months Since Last Claim_Customer Lifetime Value,4128.58730174736,46930585.97655234,0.08936561812411403,
model_Months Since Last Claim_Total Claim Amount_Income,4132.8088713864745,48796283.82248192,0.05316388381071535,
model_Total Claim Amount_Months Since Policy Inception_Income,4165.320345622429,48470598.70374197,0.0594834313002377,
model_Monthly Premium Auto_Months Since Policy Inception,4185.083407645425,50112980.958780125,0.027614880791027363,
model_Monthly Premium Auto_Months Since Policy Inception_Customer Lifetime Value,4189.197962733122,50208489.96287956,0.02576163772785478,
model_Months Since Last Claim_Total Claim Amount_Months Since Policy Inception,4226.396481642868,51065320.52489531,0.009135819980694793,
model_Total Claim Amount_Income,4284.6254829958525,52415398.956771076,-0.017060908926747498,
